"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1994:Q4","Hispanic",459638,669002,259553,77992,12927,162237,63707,92586,209364,162154,44189,3021
"1994:Q4","Other",1096508,1306516,366919,108235,98640,337414,155705,239603,210008,161845,41380,6783
"1995:Q1","White",24127938,27806175,7204961,2131582,3629652,5959932,3123040,5757009,3678237,2657803,827649,192785
"1995:Q1","Black",1045275,1361760,420005,140539,47046,507975,67605,178590,316484,205362,105235,5887
"1995:Q1","Hispanic",467419,681483,256224,78530,17566,171177,57723,100262,214064,164370,46780,2915
"1995:Q1","Other",1118654,1333706,370881,110048,105130,341939,158003,247706,215053,164391,44882,5780
"1995:Q2","White",24610223,28397607,7315291,2162067,3863216,6092028,3189415,5775590,3787384,2731876,858023,197486
"1995:Q2","Black",1044207,1354876,413514,136891,46486,520567,59962,177456,310669,198374,106064,6231
"1995:Q2","Hispanic",480296,678820,245328,76697,19563,184031,47694,105506,198524,145554,50117,2854
"1995:Q2","Other",1139354,1355468,350995,108664,118180,359426,142840,275364,216113,162499,48923,4692
"1995:Q3","White",25170596,29078223,7410740,2184937,4152708,6229494,3279812,5820534,3907628,2796793,900303,210532
"1995:Q3","Black",1042649,1349422,415850,134105,44885,536350,51058,167174,306773,195703,103912,7158
"1995:Q3","Hispanic",486578,676873,238594,76676,19425,197818,38451,105909,190296,134395,53116,2784
"1995:Q3","Other",1164249,1383737,347954,109271,136993,375573,121788,292158,219488,162879,52267,4342
"1995:Q4","White",25886900,29873459,7463806,2210380,4478105,6423262,3310900,5987005,3986559,2813796,959875,212888
"1995:Q4","Black",1050123,1359245,420779,135016,50498,529312,56576,167063,309121,200211,102110,6801
"1995:Q4","Hispanic",508549,704792,254691,76329,28595,195910,42788,106478,196243,139016,53770,3457
"1995:Q4","Other",1092642,1316928,350200,107529,134960,348271,127489,248481,224287,166902,52405,4979
"1996:Q1","White",26470026,30482600,7519911,2240273,4668740,6590250,3340450,6122976,4012574,2838522,947531,226521
"1996:Q1","Black",1056828,1377493,432329,136551,53716,529213,59442,166242,320665,210498,104406,5760
"1996:Q1","Hispanic",521076,734291,275082,78145,31990,196401,45648,107024,213215,153333,56093,3789
"1996:Q1","Other",1054968,1291009,365228,107455,134817,329765,127594,226149,236040,175953,54176,5911
"1996:Q2","White",26894057,31011091,7636095,2260507,4846533,6724226,3338471,6205259,4117034,2900440,984011,232584
"1996:Q2","Black",1056383,1372434,428012,134451,55780,528595,61256,164340,316050,209318,100976,5756
"1996:Q2","Hispanic",536908,743917,274235,78475,35486,197783,48822,109117,207010,145306,57268,4435
"1996:Q2","Other",1016048,1253876,354276,105398,134361,317333,135794,206715,237829,176597,54323,6908
"1996:Q3","White",27164030,31375752,7733381,2286305,4869461,6874690,3341953,6269963,4211722,2955333,1021439,234950
"1996:Q3","Black",1058572,1370710,429288,132962,56124,526483,63028,162826,312138,210938,95746,5455
"1996:Q3","Hispanic",557899,764196,277643,81129,36042,198566,53741,117076,206297,142920,58405,4973
"1996:Q3","Other",1000605,1242261,353861,104822,132238,301469,145463,204407,241656,179648,54258,7750
"1996:Q4","White",27819272,32078161,7756985,2301768,5091776,7141513,3393653,6392466,4258889,2959244,1063579,236066
"1996:Q4","Black",1066811,1388110,447519,135443,58227,520397,62056,164468,321299,223532,92938,4829
"1996:Q4","Hispanic",570775,801191,295601,83720,40063,203485,55240,123081,230415,163655,61561,5199
"1996:Q4","Other",1004457,1260407,383813,107061,135313,272206,155351,206663,255950,191700,55800,8449
"1997:Q1","White",28036946,32308452,7801001,2325010,5136468,7241115,3510231,6294626,4271506,2981033,1042103,248370
"1997:Q1","Black",1081928,1408047,457553,135203,59110,519777,66117,170288,326119,229102,92029,4988
"1997:Q1","Hispanic",595947,836884,306293,88404,41241,206360,66461,128125,240937,171472,63532,5933
"1997:Q1","Other",1026363,1291675,401174,108484,135374,264833,166956,214854,265311,198865,56510,9936
"1997:Q2","White",29217828,33566124,7921390,2338635,5915022,7514475,3535978,6340624,4348296,3037695,1049890,260711
"1997:Q2","Black",1104873,1435955,457403,136111,66959,535405,58649,181428,331082,227574,98404,5104
"1997:Q2","Hispanic",628514,869685,307189,84787,56764,227793,56386,136766,241172,165313,69390,6469
"1997:Q2","Other",1049448,1322574,400458,107506,148585,282377,182045,201602,273126,201342,60354,11430
"1997:Q3","White",30108006,34564325,8026880,2362006,6373258,7768186,3603131,6430864,4456319,3120259,1071872,264189
"1997:Q3","Black",1123140,1455717,458273,135186,73484,545062,57361,186351,332576,229444,98730,4402
"1997:Q3","Hispanic",664890,906436,312545,85838,65690,239153,57302,145907,241546,162379,72948,6219
"1997:Q3","Other",1058978,1338915,404121,107030,157897,284545,189086,196236,279937,204924,62255,12757
"1997:Q4","White",30535365,35048053,8070741,2378330,6506144,7830775,3717124,6544938,4512688,3122296,1114974,275418
"1997:Q4","Black",1152608,1491223,480089,137508,79079,545575,60641,188330,338615,240109,93873,4633
"1997:Q4","Hispanic",703580,963922,335508,91722,68655,244404,66103,157530,260342,179050,74040,7253
"1997:Q4","Other",1112524,1401765,445956,110467,161518,285693,196224,201908,289241,212783,61278,15180
"1998:Q1","White",32062919,36609593,8224777,2399962,7382846,8121447,3842515,6638046,4546674,3184844,1077035,284795
"1998:Q1","Black",1197336,1546669,482296,140311,93823,567952,57697,204591,349333,239640,104975,4718
"1998:Q1","Hispanic",755452,1014203,345749,89419,86748,268218,61250,162818,258751,172777,78133,7841
"1998:Q1","Other",1160773,1454684,458728,110443,178084,316545,203858,187026,293911,212230,63900,17781
"1998:Q2","White",32613045,37263818,8429220,2423330,7526250,8252224,3844151,6788643,4650773,3241343,1118330,291100
"1998:Q2","Black",1215264,1571501,480891,140602,105934,570379,58973,214721,356237,247251,104622,4364
"1998:Q2","Hispanic",780298,1050283,355062,92886,91621,275212,64167,171334,269985,181329,80317,8339
"1998:Q2","Other",1177390,1480369,475504,110937,180806,324561,211070,177491,302980,218216,64474,20289
"1998:Q3","White",32090676,36916053,8727406,2458661,6675131,8222378,3876350,6956126,4825377,3365635,1171419,288322
"1998:Q3","Black",1188056,1520412,441580,130482,113614,540759,72881,221096,332356,236184,92222,3950
"1998:Q3","Hispanic",816988,1057078,348733,101068,77676,255775,90272,183554,240090,153410,77237,9443
"1998:Q3","Other",1112452,1405159,451538,106558,166447,283815,216075,180727,292707,209612,59839,23256
"1998:Q4","White",33918787,38777476,8861320,2482091,7882746,8527099,3988253,7035967,4858689,3389656,1171069,297964
"1998:Q4","Black",1263212,1639923,500412,147488,108310,611487,55852,216375,376711,257913,113626,5173
"1998:Q4","Hispanic",808443,1092004,367088,94562,93446,303304,58667,174938,283560,187819,87090,8652
"1998:Q4","Other",1232664,1543750,485900,109658,195124,350847,202868,199352,311086,222055,69486,19545
"1999:Q1","White",34260856,39179252,9071566,2508313,7866527,8655354,3991835,7085658,4918397,3462340,1152293,303764
"1999:Q1","Black",1279108,1671193,516922,153224,96250,633995,51280,219522,392085,261876,124545,5664
"1999:Q1","Hispanic",790484,1079672,363540,92235,90846,321279,50568,161204,289188,189894,91371,7924
"1999:Q1","Other",1221705,1535001,474087,107535,194264,361413,211761,185941,313296,222567,74189,16540
"1999:Q2","White",35180794,40183382,9265402,2541674,8516103,8838623,4029728,6991852,5002587,3514618,1159255,328714
