"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1994:Q2","College",13148238,15152956,3795388,1001193,2196570,3239007,1725301,3195498,2004718,1522071,345091,137556
"1994:Q2","SomeCollege",5365159,6351617,1779525,590476,734313,1407474,697670,1142158,986458,705948,251938,28572
"1994:Q2","HS",5196333,6181391,1786270,584814,501979,1520115,600364,1187848,985058,712194,245210,27654
"1994:Q2","NoHS",2008368,2223431,708985,183064,111476,475910,249428,494568,215062,134409,76342,4312
"1994:Q3","College",13318127,15329600,3757814,1000337,2238225,3299106,1785436,3248683,2011473,1522677,351213,137583
"1994:Q3","SomeCollege",5395778,6423230,1805043,604756,750414,1433075,682278,1147665,1027452,733942,266930,26580
"1994:Q3","HS",5308912,6320965,1846351,604987,515667,1561340,591283,1201337,1012053,722587,260503,28963
"1994:Q3","NoHS",2021193,2248885,738330,186419,108699,476315,248524,490597,227692,141843,81307,4541
"1994:Q4","College",13677850,15712483,3733298,993396,2240939,3376472,1916114,3452265,2034633,1526454,363818,144361
"1994:Q4","SomeCollege",5294140,6357399,1814620,619404,729239,1429785,637258,1127093,1063259,750872,282626,29761
"1994:Q4","HS",5320616,6379394,1894637,623495,505542,1596567,564720,1194433,1058778,741218,286923,30637
"1994:Q4","NoHS",1942690,2182870,763504,187868,98190,421179,241765,470364,240180,147396,87801,4983
"1995:Q1","College",14012819,16032835,3709696,990823,2403950,3435296,2005103,3487968,2020016,1520294,357067,142655
"1995:Q1","SomeCollege",5381377,6458683,1828529,635252,763117,1470142,619589,1142055,1077307,757036,293202,27068
"1995:Q1","HS",5396026,6476798,1944048,639554,533842,1623467,545317,1190571,1080772,764491,284145,32136
"1995:Q1","NoHS",1969064,2214808,769798,195071,98485,452118,236363,462972,245744,150105,90132,5507
"1995:Q2","College",14038911,16066566,3649160,987047,2534171,3446241,2004680,3445267,2027656,1519219,364133,144303
"1995:Q2","SomeCollege",5565581,6692465,1874470,640363,826470,1535869,638825,1176468,1126884,791754,308471,26658
"1995:Q2","HS",5620336,6716014,2017451,652423,579822,1682557,553593,1230169,1095678,766707,295140,33832
"1995:Q2","NoHS",2049252,2311725,784048,204486,106982,491385,242812,482011,262473,160622,95382,6469
"1995:Q3","College",14063082,16118094,3630461,980879,2690763,3445161,1987367,3383463,2055012,1529908,374063,151041
"1995:Q3","SomeCollege",5798493,6969253,1913499,645841,906565,1600695,673809,1228844,1170760,816197,323923,30640
"1995:Q3","HS",5848094,6966635,2078517,662546,636863,1744821,574389,1269498,1118540,773052,309947,35541
"1995:Q3","NoHS",2154401,2434274,790659,215723,119820,548558,255544,503970,279873,170614,101666,7592
"1995:Q4","College",14237704,16325191,3658510,1000234,2886831,3516309,1919859,3343448,2087487,1539091,395297,153099
"1995:Q4","SomeCollege",6053593,7262147,1942975,653803,983916,1633776,733339,1314338,1208554,835098,344016,29439
"1995:Q4","HS",6070894,7218719,2109713,667909,695981,1779135,626026,1339954,1147824,783895,325282,38647
"1995:Q4","NoHS",2176022,2448367,778279,207308,125430,567535,258529,511287,272345,161840,103565,6940
"1996:Q1","College",14258861,16387280,3720765,1022974,2977980,3573420,1823551,3268591,2128420,1566917,396821,164682
"1996:Q1","SomeCollege",6334785,7573562,1976765,663674,1042126,1671832,802095,1417069,1238777,853193,351729,33855
"1996:Q1","HS",6314214,7470705,2136818,673613,739872,1822903,684342,1413157,1156490,804485,314448,37558
"1996:Q1","NoHS",2195039,2453845,758201,202162,129286,577473,263147,523574,258806,153711,99209,5886
"1996:Q2","College",14496213,16673425,3759863,1040948,3115041,3664073,1812978,3280523,2177212,1596960,411449,168803
"1996:Q2","SomeCollege",6426400,7711299,2003405,664636,1067708,1696529,818385,1460637,1284900,884522,365463,34914
"1996:Q2","HS",6427954,7586963,2161531,675130,763439,1852820,700717,1433325,1159009,798107,320578,40324
"1996:Q2","NoHS",2152829,2409631,767819,198117,125972,554514,252262,510947,256802,152072,99088,5642
"1996:Q3","College",14793116,17023612,3815629,1062776,3159636,3780483,1842543,3362545,2230496,1632963,426435,171098
"1996:Q3","SomeCollege",6409497,7731967,2030750,668607,1056571,1707588,817503,1450949,1322470,910220,377585,34665
"1996:Q3","HS",6474035,7638840,2180310,678520,760419,1872191,705345,1442055,1164805,795640,327118,42047
"1996:Q3","NoHS",2104458,2358500,767483,195316,117238,540945,238794,498723,254042,150015,98709,5318
"1996:Q4","College",15337871,17626995,3909346,1081050,3356656,3919034,1906232,3454677,2289125,1668785,446498,173842
"1996:Q4","SomeCollege",6535719,7876602,2050574,674737,1075220,1753849,829348,1492874,1340882,912759,393651,34472
"1996:Q4","HS",6490671,7680532,2183568,676610,780021,1881318,707181,1451834,1189861,814791,333457,41613
"1996:Q4","NoHS",2097055,2343740,740430,195597,113481,583402,223539,487291,246685,141797,100272,4617
"1997:Q1","College",15769786,18097300,3980646,1103046,3439436,4025564,2031636,3516971,2327515,1701987,444380,181147
"1997:Q1","SomeCollege",6495395,7851429,2075212,680546,1056267,1760973,839518,1438913,1356034,923069,394301,38665
"1997:Q1","HS",6474027,7656317,2188784,679096,772012,1899563,721880,1394983,1182290,818140,319611,44540
"1997:Q1","NoHS",2001976,2240011,721378,194414,104476,545985,216731,457027,238035,137277,95883,4875
"1997:Q2","College",16765074,19149542,4048217,1120502,4088321,4191490,2154151,3546862,2384468,1737189,458202,189077
"1997:Q2","SomeCollege",6753351,8156001,2112925,674361,1143098,1911160,821113,1493345,1402650,949168,410138,43345
"1997:Q2","HS",6551282,7716585,2202580,669597,846777,1946180,673677,1377773,1165304,807748,311166,46389
"1997:Q2","NoHS",1930956,2172210,722718,202580,109134,511220,184116,442441,241254,137819,98532,4902
"1997:Q3","College",17507683,19964843,4112071,1142022,4480076,4353696,2241338,3635641,2457160,1790156,473343,193661
"1997:Q3","SomeCollege",6904854,8354163,2157786,673149,1190400,1985703,827154,1519972,1449309,982179,421493,45636
"1997:Q3","HS",6636575,7796025,2216022,668130,889443,1983377,668369,1370684,1159450,803939,311233,44278
"1997:Q3","NoHS",1905901,2150361,715940,206760,110411,514171,170020,433060,244460,140732,99735,3992
"1997:Q4","College",18091373,20610629,4246427,1160217,4626887,4423632,2351983,3801482,2519256,1828207,491275,199773
"1997:Q4","SomeCollege",6941473,8400566,2190585,681230,1188788,1999150,840148,1500666,1459092,976160,433034,49898
"1997:Q4","HS",6652931,7833895,2208361,668974,894058,2012248,682451,1367803,1180964,814513,318425,48027
"1997:Q4","NoHS",1818299,2059873,686921,207606,105663,471419,165510,422755,241574,135357,101431,4785
"1998:Q1","College",19214959,21777871,4361723,1179804,5348864,4580509,2478658,3828313,2562912,1868939,488223,205750
"1998:Q1","SomeCollege",7355636,8845754,2247116,678902,1294259,2164260,865813,1595404,1490117,997841,437938,54338
"1998:Q1","HS",6821408,7972028,2216373,662720,983207,2083420,672862,1353446,1150619,804534,296184,49901
"1998:Q1","NoHS",1784477,2029497,686339,218710,115171,445972,147987,415319,245020,138176,101697,5146
"1998:Q2","College",19849124,22484712,4525384,1198045,5514135,4690753,2543355,4013041,2635589,1916096,508914,210578
"1998:Q2","SomeCollege",7397594,8923780,2304074,681965,1291958,2192542,843585,1609656,1526186,1019065,449832,57288
"1998:Q2","HS",6807272,7975782,2212594,664977,987988,2121641,656062,1332518,1168510,813344,304772,50395
"1998:Q2","NoHS",1732006,1981696,698625,222768,110532,417440,135359,396974,249691,139633,104226,5832
"1998:Q3","College",19728599,22418149,4618831,1217277,4895529,4733947,2586523,4366041,2689550,1954738,525809,209003
"1998:Q3","SomeCollege",7001057,8580638,2388650,681417,1158808,2021053,829719,1500991,1579581,1072942,450301,56338
"1998:Q3","HS",6735334,7895505,2224504,680984,887234,2108455,692022,1302306,1160171,785431,322471,52270
"1998:Q3","NoHS",1743183,2004411,737271,217092,91297,439271,147316,372164,261228,151730,102137,7361
"1998:Q4","College",20567415,23356589,4837508,1250763,5790623,4818833,2579593,4079269,2789174,2027504,546893,214777
"1998:Q4","SomeCollege",7790714,9368406,2375582,680331,1340137,2341816,909057,1721484,1577692,1051400,467294,58998
"1998:Q4","HS",7081022,8281449,2285428,671459,1021577,2212224,687336,1403425,1200427,830682,318392,51353
"1998:Q4","NoHS",1783955,2046709,716203,231246,127289,419863,129655,422453,262754,147856,108692,6206
"1999:Q1","College",20982424,23837626,4969546,1279641,5824431,4938313,2680063,4145633,2855202,2082312,553391,219499
"1999:Q1","SomeCollege",7792827,9378525,2377499,673661,1303176,2420851,866859,1736478,1585697,1059352,466084,60261
"1999:Q1","HS",7028172,8234047,2352842,673693,990810,2211214,641628,1363860,1205876,842309,314906,48661
"1999:Q1","NoHS",1748729,2014921,726228,234312,129469,401663,116894,406354,266191,152703,108016,5472
"1999:Q2","College",21763524,24718682,5164687,1311858,6363785,5058960,2758534,4060857,2955157,2149637,569803,235718
"1999:Q2","SomeCollege",7988773,9584576,2383160,675092,1367810,2549117,856487,1752909,1595803,1052816,472833,70154
"1999:Q2","HS",7067939,8309827,2407417,677036,1038261,2237484,613144,1336485,1241888,876614,318325,46950
"1999:Q2","NoHS",1732829,2002772,721474,240883,147396,389416,106440,397162,269943,154132,110620,5190
"1999:Q3","College",22197033,25249217,5330607,1344629,6122892,5195734,2935665,4319690,3052184,2223594,591953,236637
"1999:Q3","SomeCollege",7580620,9197139,2408461,676269,1270086,2418557,814912,1608854,1616519,1075224,471308,69987
"1999:Q3","HS",6937813,8208333,2473636,694611,960778,2165267,614980,1299060,1270520,887846,339079,43595
"1999:Q3","NoHS",1765394,2044278,742626,235224,138819,434770,118125,374713,278884,164561,109555,4768
"1999:Q4","College",23993142,27158892,5541862,1374145,7434582,5375733,3067609,4364961,3165750,2292623,610910,262216
"1999:Q4","SomeCollege",8031304,9675322,2415085,675380,1450236,2687583,822033,1625004,1644017,1067850,488286,87882
"1999:Q4","HS",7208899,8491778,2514591,691349,1099015,2239529,577617,1369678,1282880,903716,337408,41756
"1999:Q4","NoHS",1764803,2056372,745904,250248,173872,378908,101098,406341,291569,170285,117019,4265
"2000:Q1","College",25191117,28453132,5816176,1410515,7939189,5587859,3190800,4508591,3262014,2349050,615089,297875
"2000:Q1","SomeCollege",8114406,9785107,2464328,679241,1472438,2737488,776526,1655086,1670701,1070564,486978,113159
"2000:Q1","HS",7201058,8473449,2581166,703269,1114113,2236525,544315,1294061,1272391,897041,334491,40859
"2000:Q1","NoHS",1737531,2038673,769767,254903,183206,365632,95794,369370,301142,180076,117207,3859
"2000:Q2","College",25482989,28834948,6120057,1445445,7588910,5750659,3318968,4610909,3351959,2423953,639914,288092
"2000:Q2","SomeCollege",7836475,9510511,2508412,685989,1354597,2669274,721016,1571222,1674035,1077973,489661,106402
"2000:Q2","HS",7007835,8318943,2636988,719409,1018157,2188540,521113,1234737,1311108,919212,353777,38120
"2000:Q2","NoHS",1701943,2012033,795121,253870,169312,358748,97274,337708,310090,187968,118419,3703
"2000:Q3","College",26076747,29532380,6358512,1476677,7604378,5882694,3481670,4728449,3455633,2495105,671656,288873
"2000:Q3","SomeCollege",7802017,9510779,2562335,685232,1329337,2663688,743319,1526867,1708762,1104879,496731,107151
"2000:Q3","HS",7066018,8398425,2698637,731837,988116,2186080,548494,1245260,1332407,920354,377144,34908
"2000:Q3","NoHS",1761843,2088289,830057,254437,174463,380458,109143,339730,326446,201473,121542,3432
"2000:Q4","College",25969523,29509868,6694144,1508629,6692738,5945544,3576077,5092736,3540346,2559828,709647,270870
"2000:Q4","SomeCollege",7553268,9235831,2596481,696185,1163661,2515839,740414,1523251,1682563,1092862,496027,93674
"2000:Q4","HS",6916541,8325757,2729726,750160,847850,2138486,577479,1282057,1409217,961525,413981,33711
"2000:Q4","NoHS",1813047,2141077,839661,246783,157202,430477,125779,341176,328030,202569,121612,3849
"2001:Q1","College",25793922,29381117,7222928,1538154,5941775,5884949,3534415,5258895,3587195,2621369,722731,243095
"2001:Q1","SomeCollege",7478910,9122415,2688610,704215,1058744,2340772,774783,1555291,1643505,1088799,479007,75699
"2001:Q1","HS",6950921,8397105,2787939,769438,748972,2121572,642838,1326348,1446184,984169,433159,28856
"2001:Q1","NoHS",1970456,2295568,883350,234926,154404,513341,152046,357501,325112,207023,114827,3261
"2001:Q2","College",26288236,29986303,7499824,1565543,6433587,5899101,3482674,5105574,3698066,2714166,741907,241993
"2001:Q2","SomeCollege",7894312,9564793,2732296,702802,1149777,2480687,841564,1657667,1670481,1109678,486889,73913
"2001:Q2","HS",7128146,8615024,2808933,771259,794408,2205799,679542,1355084,1486878,1023473,438400,25005
"2001:Q2","NoHS",2056908,2392034,899857,239175,184619,535438,158619,374324,335126,214882,117053,3190
"2001:Q3","College",25680339,29548664,7777519,1593739,5406920,5898834,3454570,5417081,3868325,2817439,765966,284920
"2001:Q3","SomeCollege",7513288,9226022,2780178,704911,971318,2272827,851230,1645557,1712734,1140721,469404,102609
"2001:Q3","HS",7032975,8547774,2818485,788891,645896,2164622,736628,1393253,1514800,1021221,469044,24535
"2001:Q3","NoHS",2137512,2481628,927116,223772,164059,607874,185724,373083,344116,231121,109937,3058
"2001:Q4","College",26240898,30156292,7994852,1621461,6053368,5889629,3354522,5242459,3915394,2873842,798303,243249
"2001:Q4","SomeCollege",8022539,9747221,2836967,715659,1122278,2472466,940394,1659458,1724682,1161359,493441,69883
"2001:Q4","HS",7401656,8972746,2872177,791671,749275,2294729,760328,1504567,1571090,1067005,482397,21688
"2001:Q4","NoHS",2246430,2590938,949997,235469,193238,581767,182247,448220,344509,222730,117687,4092
"2002:Q1","College",26719143,30730167,8251496,1640775,6084130,6030440,3409589,5313737,4011025,2973369,797736,239920
"2002:Q1","SomeCollege",8105874,9853054,2901277,725306,1123239,2500897,943760,1658575,1747180,1187085,494428,65667
"2002:Q1","HS",7452786,9027465,2914006,795873,750420,2324068,747848,1495250,1574679,1077387,475083,22209
"2002:Q1","NoHS",2262652,2607816,967821,236318,188930,585871,177868,451009,345164,224566,116269,4329
"2002:Q2","College",26593840,30725823,8485207,1665246,5509969,6099565,3479097,5486738,4131983,3090263,820184,221536
"2002:Q2","SomeCollege",7890431,9648365,2971652,740782,1014581,2312343,925556,1683451,1757934,1220698,484769,52467
"2002:Q2","HS",7276840,8901415,2951438,812003,671853,2286103,762110,1417908,1624575,1101474,502074,21027
"2002:Q2","NoHS",2215497,2556992,976262,224943,164407,593205,190487,407688,341495,226693,110617,4185
"2002:Q3","College",26096454,30349394,8665572,1694689,4499040,6171163,3552208,5766723,4252940,3198507,843623,210810
"2002:Q3","SomeCollege",7436625,9235329,3066620,751514,830984,2108089,909122,1568999,1798704,1285114,472821,40769
"2002:Q3","HS",7179144,8848835,3007628,831574,540042,2246212,781293,1442087,1669691,1116627,532163,20902
"2002:Q3","NoHS",2219226,2560544,1007959,212991,128238,594404,205208,411743,341319,233372,103002,4944
"2002:Q4","College",26779829,31163412,8883963,1719854,4786860,6271835,3612103,5888797,4383583,3312976,863535,207072
"2002:Q4","SomeCollege",7660120,9532590,3145515,755473,875891,2233376,958963,1563373,1872469,1345713,490191,36565
"2002:Q4","HS",7384922,9074139,3044625,832502,564771,2320746,787714,1523782,1689218,1132350,536419,20448
"2002:Q4","NoHS",2251206,2602964,1044527,218377,133856,553302,202172,450730,351758,240088,106863,4808
"2003:Q1","College",27060775,31562675,9175342,1736425,4540735,6382857,3750959,5976357,4501900,3422038,863651,216210
"2003:Q1","SomeCollege",7623433,9525988,3206389,764384,814785,2202298,978287,1559845,1902555,1372780,490585,39190
"2003:Q1","HS",7314451,9039476,3057734,834915,517982,2315144,797432,1516269,1725025,1172498,531562,20965
"2003:Q1","NoHS",2263663,2610202,1058157,213869,119507,568242,206933,443493,346539,238017,103324,5198
"2003:Q2","College",28436257,33156939,9451533,1761222,5425778,6562366,3884508,6071533,4720682,3573055,875490,272137
"2003:Q2","SomeCollege",7983878,10003681,3277214,770137,933195,2385686,1009627,1627822,2019803,1432731,513120,73951
"2003:Q2","HS",7426191,9185523,3079377,831754,594506,2377443,772723,1529720,1759332,1212887,524356,22090
"2003:Q2","NoHS",2270007,2629298,1087321,222981,134600,547505,192681,444211,359291,244826,108964,5501
"2003:Q3","College",29066869,33934903,9686572,1790767,5776458,6656764,3982245,6042097,4868034,3719663,893120,255251
"2003:Q3","SomeCollege",8099557,10197285,3369351,775923,972279,2432607,1047857,1599267,2097728,1510050,524312,63366
"2003:Q3","HS",7532076,9304374,3122056,838886,614519,2411541,780168,1537204,1772297,1218566,531850,21881
"2003:Q3","NoHS",2304165,2678581,1130472,225295,137776,539559,193106,452372,374416,259610,110393,4413
"2003:Q4","College",30372672,35371415,9908539,1820320,6529976,6828329,4099766,6184485,4998743,3831617,909242,257884
"2003:Q4","SomeCollege",8486958,10649561,3496910,782056,1064297,2609271,1084278,1612749,2162602,1567053,546515,49035
"2003:Q4","HS",7753729,9564098,3196348,840750,672705,2485053,760347,1608896,1810368,1251651,531296,27422
"2003:Q4","NoHS",2312016,2699615,1144746,234539,148600,505642,180762,485326,387599,264609,115880,7110
"2004:Q1","College",32176014,37285410,10386074,1854161,6922313,6999455,4248340,6875066,5109396,3933975,907019,268403
"2004:Q1","SomeCollege",8909696,11125182,3612580,794868,1102507,2666458,1133399,1815368,2215486,1608942,551219,55325
"2004:Q1","HS",7968228,9797922,3239232,852044,693735,2538956,777358,1696596,1829693,1278191,523638,27864
"2004:Q1","NoHS",2369500,2758709,1205939,236684,150651,479207,185366,500862,389209,268563,114596,6050
"2004:Q2","College",32525284,37802341,10697151,1888299,6860231,7138881,4465680,6752100,5277057,4082975,914908,279174
"2004:Q2","SomeCollege",9044118,11365551,3761175,800997,1078545,2719298,1221411,1784126,2321433,1700604,559365,61465
"2004:Q2","HS",8141448,9984786,3325011,865567,671728,2596642,823326,1702512,1843337,1289333,525401,28604
"2004:Q2","NoHS",2412013,2818794,1266180,240249,142879,447113,199419,522954,406782,287328,114865,4588
"2004:Q3","College",33489182,38905490,11110927,1906474,6912104,7337267,4731374,6907343,5416308,4215990,937331,262987
"2004:Q3","SomeCollege",9210306,11583653,3946486,809132,1055666,2708729,1274110,1789531,2373346,1748105,568615,56626
"2004:Q3","HS",8252123,10171448,3435359,874223,655741,2624723,856407,1724995,1919325,1349325,543554,26446
"2004:Q3","NoHS",2426753,2834782,1280304,238008,132547,422325,213788,547809,408028,291986,115375,668
"2004:Q4","College",35332434,40924611,11534916,1931521,7525256,7656009,4997947,7278961,5592178,4337953,957795,296430
"2004:Q4","SomeCollege",9403401,11873486,4068610,828474,1110830,2866554,1262282,1736735,2470084,1810744,586494,72845
"2004:Q4","HS",8514563,10498434,3562328,889433,711288,2675459,878338,1781587,1983871,1402783,554308,26781
"2004:Q4","NoHS",2400437,2833319,1324086,248742,136337,385067,210488,528598,432881,307668,121522,3691
"2005:Q1","College",36137487,41805486,11953673,1947407,7565254,7811957,5169676,7357519,5667999,4424039,950831,293129
"2005:Q1","SomeCollege",9499851,11997815,4189351,849529,1096712,2830876,1234796,1796552,2497964,1850008,582839,65116
