"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1996:Q2","SomeCollege",21.8,22.4,23,25.8,21.1,21.8,22.8,21.8,26.3,25.8,30.5,14
"1996:Q2","HS",21.8,22.1,24.9,26.2,15.1,23.9,19.5,21.4,23.8,23.3,26.8,16.2
"1996:Q2","NoHS",7.3,7,8.8,7.7,2.5,7.1,7,7.6,5.3,4.4,8.3,2.3
"1996:Q3","College",49.7,49,43.4,40.8,62,47.8,51.1,49.8,44.9,46.8,34.7,67.6
"1996:Q3","SomeCollege",21.5,22.2,23.1,25.7,20.7,21.6,22.7,21.5,26.6,26.1,30.7,13.7
"1996:Q3","HS",21.7,22,24.8,26,14.9,23.7,19.6,21.4,23.4,22.8,26.6,16.6
"1996:Q3","NoHS",7.1,6.8,8.7,7.5,2.3,6.8,6.6,7.4,5.1,4.3,8,2.1
"1996:Q4","College",50.4,49.6,44,41.1,63,48.2,52,50.2,45.2,47.2,35.1,68.3
"1996:Q4","SomeCollege",21.5,22.2,23.1,25.7,20.2,21.6,22.6,21.7,26.5,25.8,30.9,13.5
"1996:Q4","HS",21.3,21.6,24.6,25.7,14.6,23.1,19.3,21.1,23.5,23,26.2,16.3
"1996:Q4","NoHS",6.9,6.6,8.3,7.4,2.1,7.2,6.1,7.1,4.9,4,7.9,1.8
"1997:Q1","College",51.3,50.5,44.4,41.5,64,48.9,53.3,51.7,45.6,47.5,35.4,67.3
"1997:Q1","SomeCollege",21.1,21.9,23.1,25.6,19.7,21.4,22,21.1,26.6,25.8,31.4,14.4
"1997:Q1","HS",21.1,21.4,24.4,25.6,14.4,23.1,18.9,20.5,23.2,22.9,25.5,16.5
"1997:Q1","NoHS",6.5,6.2,8,7.3,1.9,6.6,5.7,6.7,4.7,3.8,7.6,1.8
"1997:Q2","College",52.4,51.5,44.6,42,66.1,49,56.2,51.7,45.9,47.8,35.9,66.6
"1997:Q2","SomeCollege",21.1,21.9,23.3,25.3,18.5,22.3,21.4,21.8,27,26.1,32.1,15.3
"1997:Q2","HS",20.5,20.7,24.2,25.1,13.7,22.7,17.6,20.1,22.4,22.2,24.3,16.4
"1997:Q2","NoHS",6,5.8,8,7.6,1.8,6,4.8,6.4,4.6,3.8,7.7,1.7
"1997:Q3","College",53.1,52.2,44.7,42.5,67.2,49.3,57.4,52.2,46.3,48.2,36.2,67.3
"1997:Q3","SomeCollege",21,21.8,23.4,25,17.8,22.5,21.2,21.8,27.3,26.4,32.3,15.9
"1997:Q3","HS",20.1,20.4,24.1,24.8,13.3,22.4,17.1,19.7,21.8,21.6,23.8,15.4
"1997:Q3","NoHS",5.8,5.6,7.8,7.7,1.7,5.8,4.4,6.2,4.6,3.8,7.6,1.4
"1997:Q4","College",54,53,45.5,42.7,67.9,49.7,58.2,53.6,46.6,48.7,36.5,66
"1997:Q4","SomeCollege",20.7,21.6,23.5,25.1,17.4,22.4,20.8,21.2,27,26,32.2,16.5
"1997:Q4","HS",19.9,20.1,23.7,24.6,13.1,22.6,16.9,19.3,21.9,21.7,23.7,15.9
"1997:Q4","NoHS",5.4,5.3,7.4,7.6,1.6,5.3,4.1,6,4.5,3.6,7.5,1.6
"1998:Q1","College",54.6,53.6,45.9,43.1,69.1,49.4,59.5,53.2,47,49.1,36.9,65.3
"1998:Q1","SomeCollege",20.9,21.8,23.6,24.8,16.7,23.3,20.8,22.2,27.3,26.2,33.1,17.2
"1998:Q1","HS",19.4,19.6,23.3,24.2,12.7,22.5,16.2,18.8,21.1,21.1,22.4,15.8
"1998:Q1","NoHS",5.1,5,7.2,8,1.5,4.8,3.6,5.8,4.5,3.6,7.7,1.6
"1998:Q2","College",55.5,54.4,46.5,43.3,69.8,49.8,60.9,54.6,47.2,49.3,37.2,65
"1998:Q2","SomeCollege",20.7,21.6,23.7,24.6,16.3,23.3,20.2,21.9,27.4,26.2,32.9,17.7
"1998:Q2","HS",19,19.3,22.7,24,12.5,22.5,15.7,18.1,20.9,20.9,22.3,15.5
"1998:Q2","NoHS",4.8,4.8,7.2,8,1.4,4.4,3.2,5.4,4.5,3.6,7.6,1.8
"1998:Q3","College",56,54.8,46.3,43.5,69.6,50.9,60.8,57.9,47.3,49.3,37.5,64.3
"1998:Q3","SomeCollege",19.9,21,24,24.4,16.5,21.7,19.5,19.9,27.8,27.1,32.1,17.3
"1998:Q3","HS",19.1,19.3,22.3,24.3,12.6,22.7,16.3,17.3,20.4,19.8,23,16.1
"1998:Q3","NoHS",5,4.9,7.4,7.8,1.3,4.7,3.5,4.9,4.6,3.8,7.3,2.3
"1998:Q4","College",55.3,54.3,47.4,44.1,69.9,49.2,59.9,53.5,47.8,50,37.9,64.8
"1998:Q4","SomeCollege",20.9,21.8,23.3,24,16.2,23.9,21.1,22.6,27.1,25.9,32.4,17.8
"1998:Q4","HS",19,19.2,22.4,23.7,12.3,22.6,16,18.4,20.6,20.5,22.1,15.5
"1998:Q4","NoHS",4.8,4.8,7,8.2,1.5,4.3,3,5.5,4.5,3.6,7.5,1.9
"1999:Q1","College",55.9,54.8,47.7,44.7,70.6,49.5,62.2,54.2,48.3,50.3,38.4,65.7
"1999:Q1","SomeCollege",20.8,21.6,22.8,23.5,15.8,24.3,20.1,22.7,26.8,25.6,32.3,18
"1999:Q1","HS",18.7,18.9,22.6,23.5,12,22.2,14.9,17.8,20.4,20.4,21.8,14.6
"1999:Q1","NoHS",4.7,4.6,7,8.2,1.6,4,2.7,5.3,4.5,3.7,7.5,1.6
"1999:Q2","College",56.5,55.4,48.4,45.2,71.4,49.4,63.6,53.8,48.7,50.8,38.7,65.8
"1999:Q2","SomeCollege",20.7,21.5,22.3,23.2,15.3,24.9,19.8,23.2,26.3,24.9,32.1,19.6
"1999:Q2","HS",18.3,18.6,22.5,23.3,11.6,21.9,14.1,17.7,20.5,20.7,21.6,13.1
"1999:Q2","NoHS",4.5,4.5,6.8,8.3,1.7,3.8,2.5,5.3,4.5,3.6,7.5,1.4
"1999:Q3","College",57.7,56.5,48.7,45.6,72.1,50.9,65.5,56.8,49.1,51.1,39.2,66.7
"1999:Q3","SomeCollege",19.7,20.6,22,22.9,15,23.7,18.2,21.2,26,24.7,31.2,19.7
"1999:Q3","HS",18,18.4,22.6,23.5,11.3,21.2,13.7,17.1,20.4,20.4,22.4,12.3
"1999:Q3","NoHS",4.6,4.6,6.8,8,1.6,4.3,2.6,4.9,4.5,3.8,7.2,1.3
"1999:Q4","College",58.5,57.3,49.4,45.9,73.2,50.3,67.1,56.2,49.6,51.7,39.3,66.2
"1999:Q4","SomeCollege",19.6,20.4,21.5,22.6,14.3,25.2,18,20.9,25.8,24.1,31.4,22.2
"1999:Q4","HS",17.6,17.9,22.4,23.1,10.8,21,12.6,17.6,20.1,20.4,21.7,10.5
"1999:Q4","NoHS",4.3,4.3,6.6,8.4,1.7,3.5,2.2,5.2,4.6,3.8,7.5,1.1
"2000:Q1","College",59.6,58.4,50,46.3,74.1,51.1,69.3,57.6,50.1,52.2,39.6,65.4
"2000:Q1","SomeCollege",19.2,20.1,21.2,22.3,13.7,25.1,16.9,21.1,25.7,23.8,31.3,24.8
"2000:Q1","HS",17,17.4,22.2,23.1,10.4,20.5,11.8,16.5,19.6,19.9,21.5,9
"2000:Q1","NoHS",4.1,4.2,6.6,8.4,1.7,3.3,2.1,4.7,4.6,4,7.5,0.8
"2000:Q2","College",60.6,59.2,50.7,46.6,74.9,52.4,71.2,59.5,50.4,52.6,40,66
"2000:Q2","SomeCollege",18.6,19.5,20.8,22.1,13.4,24.3,15.5,20.3,25.2,23.4,30.6,24.4
"2000:Q2","HS",16.7,17.1,21.9,23.2,10,20,11.2,15.9,19.7,19.9,22.1,8.7
"2000:Q2","NoHS",4,4.1,6.6,8.2,1.7,3.3,2.1,4.4,4.7,4.1,7.4,0.8
"2000:Q3","College",61.1,59.6,51.1,46.9,75.3,52.9,71.3,60.3,50.6,52.8,40.3,66.5
"2000:Q3","SomeCollege",18.3,19.2,20.6,21.8,13.2,24,15.2,19.5,25,23.4,29.8,24.7
"2000:Q3","HS",16.5,17,21.7,23.2,9.8,19.7,11.2,15.9,19.5,19.5,22.6,8
"2000:Q3","NoHS",4.1,4.2,6.7,8.1,1.7,3.4,2.2,4.3,4.8,4.3,7.3,0.8
"2000:Q4","College",61.5,60,52.1,47.1,75.5,53.9,71.2,61.8,50.9,53.1,40.8,67.4
"2000:Q4","SomeCollege",17.9,18.8,20.2,21.7,13.1,22.8,14.8,18.5,24.2,22.7,28.5,23.3
"2000:Q4","HS",16.4,16.9,21.2,23.4,9.6,19.4,11.5,15.6,20.2,20,23.8,8.4
"2000:Q4","NoHS",4.3,4.4,6.5,7.7,1.8,3.9,2.5,4.1,4.7,4.2,7,1
"2001:Q1","College",61.1,59.7,53.2,47.4,75.2,54.2,69.2,61.9,51.2,53.5,41.3,69.3
"2001:Q1","SomeCollege",17.7,18.5,19.8,21.7,13.4,21.6,15.2,18.3,23.5,22.2,27.4,21.6
"2001:Q1","HS",16.5,17.1,20.5,23.7,9.5,19.5,12.6,15.6,20.7,20.1,24.8,8.2
"2001:Q1","NoHS",4.7,4.7,6.5,7.2,2,4.7,3,4.2,4.6,4.2,6.6,0.9
"2001:Q2","College",60.6,59.3,53.8,47.7,75.1,53,67.5,60.1,51.4,53.6,41.6,70.3
"2001:Q2","SomeCollege",18.2,18.9,19.6,21.4,13.4,22.3,16.3,19.5,23.2,21.9,27.3,21.5
"2001:Q2","HS",16.4,17,20.1,23.5,9.3,19.8,13.2,16,20.7,20.2,24.6,7.3
"2001:Q2","NoHS",4.7,4.7,6.5,7.3,2.2,4.8,3.1,4.4,4.7,4.2,6.6,0.9
"2001:Q3","College",60.6,59.3,54.4,48.1,75.2,53.9,66.1,61.4,52,54.1,42.2,68.6
"2001:Q3","SomeCollege",17.7,18.5,19.4,21.3,13.5,20.8,16.3,18.6,23,21.9,25.9,24.7
"2001:Q3","HS",16.6,17.2,19.7,23.8,9,19.8,14.1,15.8,20.4,19.6,25.9,5.9
